alpha,b,table_type,cost,kernel_time,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum
0.15,5,N,5.25239,,
0.15,5,H,5.25239,,
0.3,3,N,5.892098,,
0.3,3,H,5.892098,,
0.3,4,N,4.486755,,
0.3,4,H,4.486755,,
0.4,9,N,9.28572,,
0.4,9,H,9.28572,,
0.25,4,N,4.039428,,
0.25,4,H,4.039428,,
0.35,2,N,5.545739,,
0.35,2,H,5.545739,,
0.35,3,N,4.325581,,
0.35,3,H,4.325581,,
0.6,3,N,7.452035,,
0.6,3,H,7.452035,,
0.35,9,N,8.332742,,
0.35,9,H,8.332742,,
0.5,5,N,7.689174,,
0.5,5,H,7.689174,,
0.5,7,N,9.526808,,
0.5,7,H,9.526808,,
0.35,5,N,5.62324,,
0.35,5,H,5.62324,,
0.35,1,N,6.15383,,
0.35,1,H,6.15383,,
0.3,9,N,7.410275,,
0.3,9,H,7.410275,,
0.4,1,N,4.999987,,
0.4,1,H,4.999987,,
0.2,5,N,4.007352,,
0.2,5,H,4.007352,,
0.3,2,N,5.077423,,
0.3,2,H,5.077423,,
0.6,2,N,6.2752,,
0.6,2,H,6.2752,,
0.45,4,N,6.092554,,
0.45,4,H,6.092554,,
0.45,3,N,5.278551,,
0.45,3,H,5.278551,,
0.45,5,N,6.914437,,
0.45,5,H,6.914437,,
0.45,6,N,7.745835,,
0.45,6,H,7.745835,,
0.35,4,N,4.967876,,
0.35,4,H,4.967876,,
0.4,7,N,7.743757,,
0.4,7,H,7.743757,,
0.45,1,N,5.454522,,
0.45,1,H,5.454522,,
0.45,8,N,9.436516,,
0.45,8,H,9.436516,,
0.45,9,N,10.294216,,
0.45,9,H,10.294216,,
0.3,6,N,5.638079,,
0.3,6,H,5.638079,,
0.65,4,N,9.839783,,
0.65,4,H,9.839783,,
0.2,7,N,4.801731,,
0.2,7,H,4.801731,,
0.45,2,N,4.466545,,
0.45,2,H,4.466545,,
0.5,2,N,4.955077,,
0.5,2,H,4.955077,,
0.45,7,N,8.586751,,
0.45,7,H,8.586751,,
0.35,7,N,6.96447,,
0.35,7,H,6.96447,,
0.6,6,N,10.805902,,
0.6,6,H,10.805902,,
0.5,9,N,11.39506,,
0.5,9,H,11.39506,,
0.4,5,N,6.235167,,
0.4,5,H,6.235167,,
0.25,3,N,5.348608,,
0.25,3,H,5.348608,,
0.65,1,N,5.714203,,
0.65,1,H,5.714203,,
0.55,4,N,7.593702,,
0.55,4,H,7.593702,,
0.4,8,N,8.511301,,
0.4,8,H,8.511301,,
0.55,3,N,6.580917,,
0.55,3,H,6.580917,,
0.5,1,N,5.999965,,
0.5,1,H,5.999965,,
0.5,4,N,6.779691,,
0.5,4,H,6.779691,,
0.55,7,N,10.610801,,
0.55,7,H,10.610801,,
0.7,5,N,12.900311,,
0.7,5,H,12.900311,,
0.55,6,N,9.603284,,
0.55,6,H,9.603284,,
0.55,1,N,6.666619,,
0.55,1,H,6.666619,,
0.55,8,N,11.623189,,
0.55,8,H,11.623189,,
0.55,2,N,5.544978,,
0.55,2,H,5.544978,,
0.4,2,N,6.079956,,
0.4,2,H,6.079956,,
0.5,8,N,10.457084,,
0.5,8,H,10.457084,,
0.6,7,N,11.907051,,
0.6,7,H,11.907051,,
0.55,9,N,12.641363,,
0.55,9,H,12.641363,,
0.7,4,N,11.487233,,
0.7,4,H,11.487233,,
0.6,8,N,13.008032,,
0.6,8,H,13.008032,,
0.4,4,N,5.496966,,
0.4,4,H,5.496966,,
0.2,9,N,5.60039,,
0.2,9,H,5.60039,,
0.25,6,N,5.013439,,
0.25,6,H,5.013439,,
0.25,8,N,6.004357,,
0.25,8,H,6.004357,,
0.7,6,N,14.274919,,
0.7,6,H,14.274919,,
0.6,5,N,9.701089,,
0.6,5,H,9.701089,,
0.65,8,N,14.723758,,
0.65,8,H,14.723758,,
0.85,7,N,29.966952,,
0.85,7,H,29.966952,,
0.4,6,N,6.984538,,
0.4,6,H,6.984538,,
0.65,7,N,13.520526,,
0.65,7,H,13.520526,,
0.6,9,N,14.110959,,
0.6,9,H,14.110959,,
0.65,3,N,8.556851,,
0.65,3,H,8.556851,,
0.65,6,N,12.309632,,
0.65,6,H,12.309632,,
0.75,9,N,21.501061,,
0.75,9,H,21.501061,,
0.65,2,N,7.2068,,
0.65,2,H,7.2068,,
0.9,8,N,47.21135,,
0.9,8,H,47.21135,,
0.6,1,N,4.999951,,
0.6,1,H,4.999951,,
0.75,5,N,15.410008,,
0.75,5,H,15.410008,,
0.75,3,N,12.039226,,
0.75,3,H,12.039226,,
0.7,1,N,6.666511,,
0.7,1,H,6.666511,,
0.6,4,N,8.586707,,
0.6,4,H,8.586707,,
0.75,2,N,10.161557,,
0.75,2,H,10.161557,,
0.7,9,N,18.27141,,
0.7,9,H,18.27141,,
0.7,7,N,15.623433,,
0.7,7,H,15.623433,,
0.75,8,N,20.024477,,
0.75,8,H,20.024477,,
0.7,2,N,8.441342,,
0.7,2,H,8.441342,,
0.85,6,N,27.704927,,
0.85,6,H,27.704927,,
0.4,3,N,4.770424,,
0.4,3,H,4.770424,,
0.7,8,N,16.953811,,
0.7,8,H,16.953811,,
0.9,6,N,41.026118,,
0.9,6,H,41.026118,,
0.85,8,N,32.1407,,
0.85,8,H,32.1407,,
0.65,9,N,15.922911,,
0.65,9,H,15.922911,,
0.75,6,N,16.988497,,
0.75,6,H,16.988497,,
0.75,4,N,13.770012,,
0.75,4,H,13.770012,,
0.8,8,N,24.584133,,
0.8,8,H,24.584133,,
0.7,3,N,10.014553,,
0.7,3,H,10.014553,,
0.75,1,N,7.999673,,
0.75,1,H,7.999673,,
0.8,3,N,15.058669,,
0.8,3,H,15.058669,,
0.65,5,N,11.085624,,
0.65,5,H,11.085624,,
0.8,7,N,22.829956,,
0.8,7,H,22.829956,,
0.8,4,N,17.169133,,
0.8,4,H,17.169133,,
0.85,5,N,25.330308,,
0.85,5,H,25.330308,,
0.9,5,N,37.662065,,
0.9,5,H,37.662065,,
0.85,4,N,22.805969,,
0.85,4,H,22.805969,,
0.9,7,N,44.195632,,
0.9,7,H,44.195632,,
0.9,9,N,50.101517,,
0.9,9,H,50.101517,,
0.9,4,N,34.042146,,
0.9,4,H,34.042146,,
0.85,9,N,34.243152,,
0.85,9,H,34.243152,,
0.95,9,N,97.627866,,
0.95,9,H,97.627866,,
0.8,6,N,21.021672,,
0.8,6,H,21.021672,,
0.75,7,N,18.522883,,
0.75,7,H,18.522883,,
0.8,5,N,19.143016,,
0.8,5,H,19.143016,,
0.8,1,N,9.999226,,
0.8,1,H,9.999226,,
0.8,2,N,12.732677,,
0.8,2,H,12.732677,,
0.8,9,N,26.295423,,
0.8,9,H,26.295423,,
0.95,6,N,80.895662,,
0.95,6,H,80.895662,,
0.85,3,N,20.070275,,
0.85,3,H,20.070275,,
0.85,2,N,17.006442,,
0.85,2,H,17.006442,,
0.95,7,N,86.797574,,
0.95,7,H,86.797574,,
0.95,5,N,74.5587,,
0.95,5,H,74.5587,,
0.9,3,N,30.064439,,
0.9,3,H,30.064439,,
0.95,3,N,59.950949,,
0.95,3,H,59.950949,,
0.95,8,N,92.35445,,
0.95,8,H,92.35445,,
0.9,1,N,19.98899,,
0.9,1,H,19.98899,,
0.9,2,N,25.535959,,
0.9,2,H,25.535959,,
0.85,1,N,13.331019,,
0.85,1,H,13.331019,,
0.95,4,N,67.651739,,
0.95,4,H,67.651739,,
0.95,2,N,51.030098,,
0.95,2,H,51.030098,,
1.0,8,N,1000000000.0,,
1.0,8,H,1000000000.0,,
1.0,9,N,1000000000.0,,
1.0,9,H,1000000000.0,,
0.95,1,N,39.848713,,
0.95,1,H,39.848713,,
1.0,6,N,1000000000.0,,
1.0,6,H,1000000000.0,,
1.0,7,N,1000000000.0,,
1.0,7,H,1000000000.0,,
1.0,5,N,1000000000.0,,
1.0,5,H,1000000000.0,,
1.0,4,N,1000000000.0,,
1.0,4,H,1000000000.0,,
1.0,3,N,1000000000.0,,
1.0,3,H,1000000000.0,,
1.0,2,N,1000000000.0,,
1.0,2,H,1000000000.0,,
1.0,1,N,1000000000.0,,
1.0,1,H,1000000000.0,,
