alpha,b,table_type,cost,kernel_time,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum
0.45,2,H,7.443405,0.657559,2975482072
0.45,2,N,7.443405,0.679438,10213102397
0.45,3,H,8.255353,0.65018,2941201310
0.45,3,N,8.255353,0.722049,10170717954
0.45,4,H,9.069295,0.653877,2950875414
0.45,4,N,9.069295,0.685866,10261476136
0.45,5,H,9.891126,0.6554,2986980738
0.45,5,N,9.891126,0.667712,10439285561
0.45,6,H,10.722478,0.650284,3040297541
0.45,6,N,10.722478,0.692821,10639983610
0.45,7,H,11.563357,0.655878,3097212277
0.45,7,N,11.563357,0.706761,10860191396
0.45,8,H,12.413098,0.668818,3151155679
0.45,8,N,12.413098,0.679341,11021824495
0.45,9,H,13.270784,0.670388,3217111666
0.45,9,N,13.270784,0.704055,11234196777
0.45,10,H,14.135426,0.655866,3275364916
0.45,10,N,14.135426,0.691578,11411206555
0.45,11,H,15.006064,0.674396,3339872717
0.45,11,N,15.006064,0.715665,11579545032
0.45,12,H,15.88181,0.674617,3406486204
0.45,12,N,15.88181,0.706373,11759492403
0.5,1,H,9.800677,0.69687,3295506422
0.5,1,N,9.800677,0.797007,11330870179
0.5,2,H,8.755724,0.659224,3041908886
0.5,2,N,8.755724,0.690061,10728039641
0.5,3,H,9.6723,0.650836,3005991011
0.5,3,N,9.6723,0.684502,10621188950
0.5,4,H,10.580164,0.656834,3014052693
0.5,4,N,10.580164,0.736558,10666613586
0.5,5,H,11.489557,0.646921,3051198933
0.5,5,N,11.489557,0.728771,10778353930
0.5,6,H,12.40463,0.674892,3105637854
0.5,6,N,12.40463,0.703821,10997129666
0.5,7,H,13.327033,0.659333,3158492130
0.5,7,N,13.327033,0.690096,11141813640
0.5,8,H,14.25725,0.662649,3224271303
0.5,8,N,14.25725,0.711063,11319755629
0.5,9,H,15.195175,0.682888,3289276196
0.5,9,N,15.195175,0.694336,11501891494
0.5,10,H,16.140398,0.670803,3353384452
0.5,10,N,16.140398,0.747622,11661034925
0.5,11,H,17.092368,0.674323,3422983592
0.5,11,N,17.092368,0.75995,11847895941
0.5,12,H,18.05047,0.676195,3490882883
0.5,12,N,18.05047,0.762328,12038048711
0.55,1,H,11.299133,0.709441,3422094071
0.55,1,N,11.299133,0.830006,12038116521
0.55,2,H,10.177407,0.665979,3133428061
0.55,2,N,10.177407,0.719118,11324833667
0.55,3,H,11.21323,0.657442,3089137053
0.55,3,N,11.21323,0.704519,11138557464
0.55,4,H,12.225883,0.661178,3098828207
0.55,4,N,12.225883,0.709076,11136718681
0.55,5,H,13.230826,0.657329,3130249173
0.55,5,N,13.230826,0.702257,11214934934
0.55,6,H,14.235188,0.674652,3184793537
0.55,6,N,14.235188,0.706253,11379322255
0.55,7,H,15.242573,0.657217,3239242565
0.55,7,N,15.242573,0.729748,11477280880
0.55,8,H,16.254841,0.675414,3310542669
0.55,8,N,16.254841,0.735166,11662591371
0.55,9,H,17.272908,0.682656,3374835484
0.55,9,N,17.272908,0.713926,11811518664
0.55,10,H,18.297147,0.674541,3442989809
0.55,10,N,18.297147,0.721644,11974290959
0.55,11,H,19.327609,0.678279,3517395075
0.55,11,N,19.327609,0.744746,12172413999
0.55,12,H,20.364145,0.680134,3579697611
0.55,12,N,20.364145,0.728737,12292444216
0.6,1,H,10.463652,0.721788,3573163585
0.6,1,N,10.463652,0.864891,12883157180
0.6,2,H,11.738794,0.673059,3240563838
0.6,2,N,11.738794,0.755319,12027099245
0.6,3,H,12.91547,0.665918,3175834644
0.6,3,N,12.91547,0.740867,11741756875
0.6,4,H,14.049954,0.669939,3192537538
0.6,4,N,14.049954,0.730959,11692904648
0.6,5,H,15.164132,0.667096,3228380639
0.6,5,N,15.164132,0.760708,11794551661
0.6,6,H,16.268732,0.671495,3266973593
0.6,6,N,16.268732,0.740215,11808374983
0.6,7,H,17.369672,0.676736,3341217396
0.6,7,N,17.369672,0.741693,11985418503
0.6,8,H,18.470444,0.679317,3397801018
0.6,8,N,18.470444,0.776014,12060793173
0.6,9,H,19.573173,0.706468,3475030744
0.6,9,N,19.573173,0.763309,12207675622
0.6,10,H,20.679172,0.694816,3540102739
0.6,10,N,20.679172,0.735325,12368428187
0.6,11,H,21.789242,0.683259,3606946387
0.6,11,N,21.789242,0.745179,12475455431
0.6,12,H,22.903842,0.692793,3669074191
0.6,12,N,22.903842,0.784142,12536072251
0.65,1,H,12.003057,0.7312,3616823868
0.65,1,N,12.003057,0.90601,13942120873
0.65,2,H,13.49551,0.686832,3353229355
0.65,2,N,13.49551,0.803903,12913156643
0.65,3,H,14.845347,0.684891,3301068374
0.65,3,N,14.845347,0.76507,12598989507
0.65,4,H,16.128017,0.674695,3297271279
0.65,4,N,16.128017,0.739498,12399118475
0.65,5,H,17.373571,0.675238,3332125703
0.65,5,N,17.373571,0.734458,12421394644
0.65,6,H,18.597262,0.672174,3383598261
0.65,6,N,18.597262,0.739692,12435355456
0.65,7,H,19.807831,0.683841,3439627436
0.65,7,N,19.807831,0.747724,12487828504
0.65,8,H,21.010736,0.678789,3505164366
0.65,8,N,21.010736,0.745528,12551622222
0.65,9,H,22.209557,0.697466,3582279854
0.65,9,N,22.209557,0.758522,12730444180
0.65,10,H,23.406716,0.695964,3639417869
0.65,10,N,23.406716,0.752581,12774530981
0.65,11,H,24.603901,0.688488,3704553697
0.65,11,N,24.603901,0.763911,12801386888
0.65,12,H,25.802301,0.707899,3779535123
0.65,12,N,25.802301,0.768375,12922640222
0.7,1,H,13.771052,0.748129,3857177977
0.7,1,N,13.771052,0.975122,15384751856
0.7,2,H,15.545692,0.704574,3545295216
0.7,2,N,15.545692,0.878184,14133393033
0.7,3,H,17.118611,0.713915,3469910244
0.7,3,N,17.118611,0.789113,13697004371
0.7,4,H,18.590932,0.687629,3465047449
0.7,4,N,18.590932,0.779989,13389347132
0.7,5,H,20.003601,0.680034,3461921703
0.7,5,N,20.003601,0.795165,13208377639
0.7,6,H,21.377754,0.684505,3533223005
0.7,6,N,21.377754,0.769965,13295640170
0.7,7,H,22.725789,0.693616,3575402091
0.7,7,N,22.725789,0.796562,13209562635
0.7,8,H,24.055664,0.692737,3646467308
0.7,8,N,24.055664,0.767057,13284797888
0.7,9,H,25.372748,0.695286,3705378910
0.7,9,N,25.372748,0.777412,13330879621
0.7,10,H,26.68085,0.705332,3755554486
0.7,10,N,26.68085,0.778233,13306746862
0.7,11,H,27.982715,0.708609,3828784432
0.7,11,N,27.982715,0.811173,13339305544
0.7,12,H,29.280433,0.70918,3917535844
0.7,12,N,29.280433,0.794856,13527352994
0.75,1,H,15.908296,0.779967,4136358833
0.75,1,N,15.908296,1.06597,17303580773
0.75,2,H,18.069921,0.72705,3753766419
0.75,2,N,18.069921,0.892308,15730495952
0.75,3,H,19.947191,0.703555,3637140437
0.75,3,N,19.947191,0.834514,14867648047
0.75,4,H,21.677476,0.69143,3647421501
